State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Name_x,County Name_x,Avg Concentration,Max Concentration,90th Percentile Conc,Median Concentration,10th Percentile Conc,State Name_y,County Name_y,New Avg Concentration,New Max Concentration,New 90th Percentile Conc,New Median Concentration,New 10th Percentile Conc
Alabama,Baldwin,2021.0,280.0,248.0,32.0,0.0,0.0,0.0,0.0,63.0,52.0,37.0,0.0,0.0,199.0,81.0,0.0,Alabama,Baldwin,4.858362416666666,15.4,7.750666666666667,4.346416666666666,2.8751666666666664,Alabama,Baldwin,4.858362416666666,15.4,7.750666666666667,4.346416666666666,2.8751666666666664
Alabama,Clay,2021.0,110.0,87.0,23.0,0.0,0.0,0.0,0.0,70.0,55.0,36.0,0.0,0.0,0.0,110.0,0.0,Alabama,Clay,6.807273,19.5,11.3,6.4,3.4,Alabama,Clay,6.807273,19.5,11.3,6.4,3.4
Alabama,DeKalb,2021.0,361.0,315.0,46.0,0.0,0.0,0.0,0.0,84.0,53.0,37.0,0.0,0.0,298.0,63.0,0.0,Alabama,DeKalb,5.175875,24.5,8.151333333333332,4.548,2.745333333333333,Alabama,DeKalb,5.175875,24.5,8.151333333333332,4.548,2.745333333333333
Alabama,Elmore,2021.0,241.0,238.0,3.0,0.0,0.0,0.0,0.0,87.0,44.0,32.0,0.0,0.0,241.0,0.0,0.0,Alabama,Elmore,0.035793,0.075,0.04925,0.03625,0.02225,Alabama,Elmore,0.035793,0.075,0.04925,0.036250000000000004,0.02225
Alabama,Etowah,2021.0,286.0,235.0,51.0,0.0,0.0,0.0,0.0,80.0,57.0,38.0,0.0,0.0,201.0,85.0,0.0,Alabama,Etowah,6.647441571428571,42.0,10.933571428571428,6.407666666666667,3.0332857142857144,Alabama,Etowah,6.647441571428571,42.0,10.933571428571428,6.407666666666667,3.0332857142857144
Alabama,Jefferson,2021.0,365.0,104.0,256.0,3.0,2.0,0.0,0.0,189.0,77.0,56.0,0.0,1.0,47.0,317.0,0.0,Alabama,Jefferson,60.83892788059702,1014.2,65.10640679104478,60.484436436567165,47.87037527233116,Alabama,Jefferson,60.83892788059702,1014.2,65.10640679104478,60.484436436567165,47.87037527233116
Alabama,Lawrence,2021.0,100.0,89.0,11.0,0.0,0.0,0.0,0.0,60.0,53.0,28.0,0.0,0.0,0.0,100.0,0.0,Alabama,Lawrence,0.6570310869565218,21.593,1.1208097826086956,0.5767676086956522,0.3077397826086956,Alabama,Lawrence,0.6570310869565218,21.593,1.1208097826086956,0.5767676086956522,0.30773978260869567
Alabama,Madison,2021.0,357.0,189.0,166.0,2.0,0.0,0.0,0.0,105.0,62.0,49.0,0.0,0.0,59.0,285.0,13.0,Alabama,Madison,268.07129501176473,1440.0,272.4733647058824,267.61690588235297,223.24504477611936,Alabama,Madison,268.07129501176473,1440.0,272.4733647058824,267.61690588235297,223.24504477611939
Alabama,Mobile,2021.0,361.0,125.0,236.0,0.0,0.0,0.0,0.0,83.0,62.0,53.0,0.0,0.0,35.0,326.0,0.0,Alabama,Mobile,3.796656652173913,87.5,6.1745217391304354,3.474304347826087,1.991,Alabama,Mobile,3.796656652173913,87.5,6.1745217391304354,3.474304347826087,1.9909999999999999
Alabama,Montgomery,2021.0,354.0,222.0,132.0,0.0,0.0,0.0,0.0,93.0,60.0,44.0,0.0,0.0,86.0,268.0,0.0,Alabama,Montgomery,6.932150916666667,207.0,10.754666666666669,6.527541666666667,3.316541666666667,Alabama,Montgomery,6.932150916666667,207.0,10.754666666666667,6.527541666666667,3.316541666666667
Alabama,Morgan,2021.0,365.0,209.0,156.0,0.0,0.0,0.0,0.0,97.0,63.0,47.0,0.0,0.0,71.0,294.0,0.0,Alabama,Morgan,7.5563840967741935,52.2,12.48083870967742,6.714838709677419,3.722419354838709,Alabama,Morgan,7.5563840967741935,52.2,12.48083870967742,6.714838709677419,3.7224193548387094
Alabama,Russell,2021.0,364.0,214.0,147.0,3.0,0.0,0.0,0.0,142.0,65.0,47.0,0.0,0.0,51.0,313.0,0.0,Alabama,Russell,32.60243248701298,766.0,33.97855441558442,32.44583253246753,25.776466825396827,Alabama,Russell,32.60243248701298,766.0,33.97855441558442,32.44583253246753,25.776466825396827
Alabama,Shelby,2021.0,243.0,231.0,12.0,0.0,0.0,0.0,0.0,77.0,48.0,35.0,0.0,0.0,243.0,0.0,0.0,Alabama,Shelby,1.0854229999999998,245.6,2.146,0.3175555555555556,0.0542222222222222,Alabama,Shelby,1.0854229999999998,245.6,2.146,0.3175555555555556,0.05422222222222223
Alabama,Sumter,2021.0,355.0,311.0,44.0,0.0,0.0,0.0,0.0,71.0,52.0,35.0,0.0,0.0,91.0,264.0,0.0,Alabama,Sumter,2.9376002,36.2,4.6046,2.7317,1.3342500000000002,Alabama,Sumter,2.9376002,36.2,4.6046,2.7317,1.3342500000000002
Alabama,Tuscaloosa,2021.0,280.0,246.0,34.0,0.0,0.0,0.0,0.0,90.0,52.0,34.0,0.0,0.0,188.0,92.0,0.0,Alabama,Tuscaloosa,6.2381141,22.3,10.04985,5.72685,3.364,Alabama,Tuscaloosa,6.2381141,22.3,10.04985,5.72685,3.364
Alaska,Aleutians East ,2021.0,118.0,117.0,1.0,0.0,0.0,0.0,0.0,51.0,29.0,13.0,0.0,0.0,0.0,118.0,0.0,Alaska,Aleutians East ,0.3675094782608696,20.705,0.7030980434782608,0.3115908695652174,0.1118108695652174,Alaska,Aleutians East ,0.3675094782608696,20.705,0.7030980434782608,0.3115908695652174,0.1118108695652174
Alaska,Anchorage ,2021.0,365.0,289.0,74.0,2.0,0.0,0.0,0.0,132.0,57.0,28.0,2.0,0.0,0.0,277.0,86.0,Alaska,Anchorage ,10.534794833333333,913.0,20.538833333333333,7.2945,2.6951034482758622,Alaska,Anchorage ,10.534794833333333,913.0,20.538833333333333,7.2945,2.6951034482758622
Alaska,Denali ,2021.0,363.0,360.0,3.0,0.0,0.0,0.0,0.0,74.0,41.0,33.0,0.0,0.0,360.0,3.0,0.0,Alaska,Denali ,5.640432431034482,360.0,9.606845689655172,5.540403620689656,1.6251939655172414,Alaska,Denali ,5.640432431034482,360.0,9.606845689655172,5.540403620689656,1.6251939655172414
Alaska,Fairbanks North Star ,2021.0,365.0,211.0,120.0,21.0,13.0,0.0,0.0,189.0,97.0,42.0,0.0,0.0,66.0,298.0,1.0,Alaska,Fairbanks North Star ,61.485650438756856,1440.0,73.57078436928703,59.85715062157221,53.01521244813278,Alaska,Fairbanks North Star ,61.485650438756856,1440.0,73.57078436928703,59.85715062157221,53.01521244813278
